District,lat,lon,T2M,WS2M,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,T2M_MIN,T2M_MAX,PS
CHITRAKOOT,25.206226783016458,81.07746223679987,25.537715458276335,1.8855677154582762,2.6148358413132695,57.063946648426814,16.87794117647059,19.86107387140903,32.085280437756495,98.23515047879616
CHITTAURGARH,24.822240206259384,74.77539900139227,25.13547879616963,2.2248837209302326,2.343337893296854,53.2436046511628,18.59151162790698,19.148262653898765,31.989938440492477,95.92798221614228
CHITTOOR,13.464938379011903,79.00599650425792,24.64093023255814,2.6653625170998634,2.9089124487004105,72.43183994528044,18.43136114911081,19.93030779753762,30.63944596443228,93.99422708618333
CHUR>CH>NDPUR,24.277193293398728,93.60291802884436,21.363378932968534,0.30892612859097124,3.3163885088919285,73.39587551299589,16.614548563611493,16.654213406292747,27.667325581395353,91.32547195622436
CH@RU,28.34511793141295,74.6964052620891,26.04626538987688,2.0795896032831735,1.5040355677154584,43.57671682626539,18.83075239398085,20.01748974008208,32.809035567715455,97.81495212038305
Y S R KADAPA,14.463752876955544,78.78037435626779,27.427332421340626,2.693077975376197,2.550957592339261,66.94270861833105,18.98453488372093,22.25545827633379,33.71626538987688,98.06323529411766
CUTTACK,20.453339675029376,85.6964624114762,26.216956224350206,1.8814774281805748,4.143515731874145,73.76810533515732,16.690212038303695,21.592489740082076,31.705389876880986,99.98359781121752
D>HOD,22.860252379324184,74.11236819489362,25.651675786593707,2.5314021887824896,2.7983994528043774,57.492763337893294,18.09202462380301,19.840492476060195,32.4339534883721,97.24469904240766
DAKSHINA  KANNADA,12.85312369543693,75.25090403493385,26.916313269493845,1.8152872777017783,10.676969904240767,77.68937072503421,17.94034199726402,24.380868673050617,30.16298221614227,99.08847469220247
DAMAN,20.414234943351175,72.85271268563457,26.817373461012313,2.537400820793434,5.400683994528044,64.79396716826265,18.36452120383037,22.028727770177838,33.13917920656635,99.47615595075239
DAMOH,23.812319155087007,79.52683092099744,24.96790697674419,1.9626265389876878,3.0072024623803015,58.19415184678523,17.92280437756498,19.081238030095758,31.736614227086182,96.32963748290013
D>NGS,20.804932411689936,73.70070404986352,25.896757865937072,2.7174418604651165,4.075471956224351,62.494384404924766,17.948372093023256,20.773590971272228,32.438146374829,97.26703830369355
DAKSHIN BASTAR DANTEW>DA,18.80474903496571,81.39028331754372,24.97773597811217,1.482510259917921,4.1723255813953495,68.2687414500684,17.443057455540355,19.808789329685364,31.12093707250342,95.39969904240768
DATIA,25.801368487765423,78.59802856627036,26.133310533515736,1.8675239398084813,2.255854993160055,52.27731874145007,17.5746853625171,20.0921682626539,32.843625170998635,98.76166210670314
DAUSA,26.857578861440683,76.51029682479135,25.34688098495212,1.9844938440492474,1.9770519835841311,49.682305061559504,18.370410396716828,19.285704514363886,32.5438098495212,96.69717510259919
D>VANGERE,14.40873798921906,75.95407424379508,25.21249658002736,3.223932968536252,2.2577906976744186,66.92833105335157,19.041798905608754,20.117715458276333,31.5309781121751,93.87019151846785
DEHRAD@N,30.472166354233046,77.9675497632121,17.721751025991793,1.5362243502051984,4.160389876880985,62.115212038303696,18.011928864569086,13.137134062927498,23.375369357045145,85.85784541723667
DEOGARH,21.46703298712457,84.7853019628223,25.26778385772914,1.7152735978112175,4.031176470588235,68.49677154582763,17.007551299589604,20.105348837209302,31.112140902872774,97.39554035567716
DEORIA,26.42534977755413,83.83458549905244,25.38551299589603,2.0322708618331053,3.3741860465116282,61.92848837209302,15.965759233926129,20.009110807113544,31.6587414500684,99.88270861833105
DEWAS,22.7441978273266,76.4568605360873,25.751374829001364,2.32062243502052,3.5884404924760602,58.12811901504788,17.996751025991788,19.768009575923394,32.37870041039672,96.77612859097128
DHALAI,23.83708704185583,91.92403566941807,24.655595075239397,0.1670793433652531,6.44937756497948,78.87378932968537,16.914876880984952,20.529781121751025,29.59359097127223,99.61917236662106
DHAMTARI,20.55524456978585,81.80885395722703,24.920307797537625,1.928406292749658,3.9959233926128586,66.60250341997263,17.7193365253078,19.978030095759234,30.560328317373457,96.08955540355679
DHANBAD,23.826759833015952,86.47225307799984,24.490424076607386,1.879623803009576,3.784083447332421,68.05465800273598,16.308967168262654,19.428036935704515,30.364192886456905,97.65428864569084
DHAR,22.49795543730763,75.10396787047863,25.693823529411763,2.5507865937072505,2.787270861833105,57.52429548563612,17.96797537619699,19.790848153214775,32.505902872777014,96.809439124487
AYODHYA,26.657553768519996,81.99710441863725,25.194623803009577,1.9342270861833106,3.0518946648426817,59.99463748290014,16.573830369357044,19.68703146374829,31.505800273597814,99.59087551299591
DEOGHAR,24.32832437193526,86.74020986091618,24.905191518467852,1.9319425444596443,3.8282968536251705,67.58352257181943,16.387578659370725,19.848474692202462,30.79250341997264,98.6921340629275
DH>RWAD,15.390179754540327,75.15229949976649,24.759083447332422,2.524658002735978,3.5425102599179206,70.1386388508892,18.501956224350206,19.78487688098495,30.93892612859097,93.92931600547196
DHENK>N>L,20.826874112056036,85.52389579283714,25.74926128590971,1.7019767441860465,4.20797537619699,72.08075923392613,16.690212038303695,20.8822024623803,31.42266073871409,98.85396032831737
DHAULPUR,26.680863005774743,77.70214228152315,26.104445964432287,1.9419151846785225,2.0560601915184678,50.20049247606019,18.221675786593703,19.99410396716826,33.01760601915185,98.30538987688097
DINDORI,22.889989188480868,81.05128887256818,23.00716142270862,1.9202120383036936,3.7805335157318742,63.08435020519836,17.26556771545828,17.754589603283172,29.351559507523937,92.98408344733241
DUMKA,24.319558463056996,87.26641665089251,25.313454172366622,1.895813953488372,3.656456908344733,67.82554719562243,15.809480164158686,20.262742818057458,31.1502462380301,99.33857729138165
D@NGARPUR,23.73187176081203,73.85313752299263,26.315054719562244,2.3868399452804376,2.4538782489740085,54.79420656634747,18.88486320109439,20.168905608755132,33.34484952120383,98.49929548563611
DURG,21.220342768153913,81.3832748565549,25.314398084815323,1.8355129958960328,4.427510259917921,66.09850889192887,17.64549247606019,20.095095759233924,31.11249658002736,97.18777701778383
EAST,27.2920565360721,88.67306883469186,7.462017783857728,1.4500752393980847,5.246053351573187,80.55424076607387,14.480280437756496,3.805889192886457,12.395239398084815,69.31820793433653
EAST G>RO HILLS,25.61862793843201,90.63037035918424,23.351976744186043,0.413844049247606,8.477305061559507,77.1287756497948,15.418378932968535,18.995526675786593,29.142735978112174,96.97740082079343
EAST GODAVARI,17.272008083843122,81.8932764240837,25.667619699042405,1.5008549931600548,3.85608755129959,74.89215458276333,17.462824897400818,21.29519835841313,31.168529411764705,96.91192886456908
EAST KH>SI HILLS,25.383452878660364,91.8001906471711,17.97717510259918,1.400875512995896,11.459589603283172,82.89619015047879,15.31344049247606,14.231860465116279,22.785253077975373,87.63203146374829
EAST NIMAR,21.935151348458415,76.5683980803676,26.09208618331054,2.1515731874145008,3.950697674418605,58.104227086183315,18.001326949384403,20.227298221614227,32.63463064295486,96.91506839945282
ERN>KULAM,10.084493911509863,76.54601318077137,27.532503419972638,2.1771409028727775,7.800834473324214,79.1532147742818,18.153173734610125,25.458789329685363,30.141600547195626,100.39152530779754
ETAH,27.515540520294817,78.71741893731254,25.651922024623804,1.918809849521204,1.9939808481532146,51.53051983584131,16.89218878248974,19.627270861833104,32.53023255813953,98.87916552667578
ET>WAH,26.764067184139414,79.09485388520741,25.835512995896035,1.8996580027359782,2.1323871409028725,51.84396716826266,17.347797537619698,19.86125170998632,32.5675170998632,99.09817373461013
FARRUKH>B>D,27.431334066369566,79.45866697094792,25.57482216142271,1.9397400820793433,2.1572298221614226,52.65207934336525,16.73088919288646,19.619151846785226,32.3923803009576,99.05071819425444
FATEHPUR,25.87489370811236,80.80770886942688,25.69328317373461,1.8371682626538985,2.550218878248974,56.48736662106703,16.882264021887828,19.897414500683993,32.04240766073871,99.45875512995897
FIROZ>B>D,27.187235749201502,78.52642791527016,25.94181258549931,1.882175102599179,1.9993433652530779,51.08079343365253,16.89218878248974,19.885656634746923,32.72474692202462,99.03005471956224
GADAG,15.43146275094618,75.66525127881262,25.46248974008208,2.9700341997264026,2.435670314637483,65.66655266757866,18.501956224350206,20.196614227086183,31.88175786593707,94.12943912448699
GAJAPATI,19.184171306364785,84.16116339607173,26.013488372093025,2.4804856361149112,3.485061559507524,74.56370725034199,16.735718194254446,22.4056292749658,30.591463748290014,98.24417920656634
GANJ>M,19.624455923658896,84.67246536535049,25.189952120383037,1.8344596443228454,3.461306429548564,71.79422024623803,16.735718194254446,20.62385772913817,30.882941176470588,96.59158686730508
GARHWA,24.103698448235082,83.69849112596306,24.91964432284542,1.8078248974008209,3.217216142270862,60.18018467852258,17.10280437756498,19.5090902872777,31.061833105335154,96.67522571819426
GARIY>BAND,20.44808346171465,82.23523420857654,24.91812585499316,1.7965047879616962,4.161313269493844,66.99264705882354,17.31075923392613,19.85691518467852,30.63208618331053,96.21002735978112
GAUTAMBUDHNAGAR,28.39405895801104,77.55597344264584,25.006395348837213,1.8796853625170997,2.2935978112175106,52.829808481532154,17.029001367989054,18.964432284541722,32.09277701778386,98.428878248974
GAZIPUR,25.62396210909711,83.55554432137656,26.10560191518468,2.018419972640219,2.4793638850889193,57.570827633378926,16.36743502051984,20.493344733242136,32.579138166894666,99.95054035567716
GH>ZI>B>D,28.767748528755483,77.47601453031574,24.577270861833107,1.8766894664842684,2.554487004103967,54.78151846785226,17.029001367989054,18.655861833105334,31.570068399452808,98.24286593707251
G|R SOMN>TH,20.90430510056139,70.75489624823892,26.30115595075239,3.4083105335157318,3.0105608755129962,65.92403556771546,19.35344733242134,21.937352941176467,31.78578659370725,99.78771545827634
GIRIDIH,24.293574963738905,86.11099755150667,24.526655266757867,1.965656634746922,3.465034199726402,66.50865937072504,16.387578659370725,19.416025991792065,30.41941176470588,97.85853625170998
GODDA,24.858838338237103,87.30868424148346,25.37014363885089,1.918153214774282,3.7893228454172365,67.66707934336524,15.809480164158686,20.346340629274966,31.034432284541722,99.65527359781123
GOMATI,23.511620908687743,91.62781117583029,24.3227633378933,0.1605950752393981,6.747168262653899,80.51974008207934,16.914876880984952,20.108939808481534,29.482667578659374,99.36170314637482
GONDA,27.08338709580319,82.02529361139139,25.004363885088917,1.9973803009575923,3.5311149110807114,61.40577291381668,17.0337756497948,19.632216142270863,31.193331053351574,99.57719562243501
GORAKHPUR,26.656068408568924,83.35903182000558,25.343885088919286,2.0374897400820795,3.2021614227086186,61.02210670314638,15.965759233926129,19.90264705882353,31.695177838577287,99.82090287277703
GUMLA,23.103200031377092,84.53236481802186,22.99679890560875,1.8523324213406294,3.890225718194255,66.12441860465117,16.713317373461013,17.949158686730506,29.040348837209304,93.49926812585498
GUNA,24.55594042591936,77.19863307362743,24.64671682626539,2.225205198358413,2.7414911080711355,56.65465800273598,18.088741450068397,18.721798905608754,31.49112859097127,95.35166894664843
